Site,Group,ID,Demography,PopGenomics,Lat,Lon
Sweetwater,CUR,S02,yes,yes,32.89928,-116.5849
Mill Creek,MIL,S11,yes,no,34.07808,-116.87558
West Fork Mojave River,WFM,S07,yes,no,34.28425,-117.37539
North Fork Middle Tule,NMT,S10,yes,no,36.20081,-118.65092
Redwood Creek,RWD,S08,yes,yes,36.69096,-118.90961
Wawona,WNA,S32,yes,yes,37.539,-119.654
Oregon Creek,ORC,S29,no,no,39.39442,-121.08302
Little Jameson,LIJ,S18,yes,yes,39.74298,-120.70401
Deep Creek,DPC,S17,yes,yes,41.66546,-123.11341
Oneil Creek,ONC,S16,no,no,41.80979,-123.11887
Deer Creek,DRC,S36,no,no,42.27411,-123.63617
Rock Creek,RCC,S15,yes,yes,43.37876,-122.95207
